方面,进路内容,进路方式,排列进路按下按钮, 确定运行方向道岔,信号机名称和显示,表示器,道岔,敌对信号,轨道区段,迎面进路(列车),迎面进路(调车),其他联锁,进路号码
由东郊方面接车,至5股道,,XDLA，S5LA,,XD/UU,,5/7，9/11，13/15，(21),D11，S5,7DG，11-13DG，21DG，5G，<23/25>25DG,5G,5G,,1
由东郊方面接车,至III股道,,XDLA，SIIILA,,XD/U,,5/7，9/11，13/15，21，23/25,D11，SIII,7DG，11-13DG，21DG，25DG，IIIG,IIIG,IIIG,,2
由东郊方面接车,至I股道,,XDLA，D17LA,,XD/UU,,5/7，(13/15)，[9/11]，17/19，23/25,D11，D13，D17,7DG，11-13DG，9-15DG，17-23DG，IG,,IG,,3
由东郊方面接车,至4股道,,XDLA，S4LA,,XD/UU,,5/7，(13/15)，[9/11]，(17/19)，{23/25}，(27),D11，D13，S4,7DG，11-13DG，9-15DG，17-23DG，19-27DG，4G,4G,4G,,4
由东郊方面发车,由5股道,,S5LA，XDLA,,S5/L,B,5/7，9/11，13/15，(21),D11，XD，S5D,21DG，<23/25>25DG，11-13DG，7DG,,,BS,5
由东郊方面发车,由III股道,,SIIILA，XDLA,,SIII/L,B,5/7，9/11，13/15，21，23/25,D11，XD，SIIID,25DG，21DG，11-13DG，7DG,,,BS,6
由东郊方面发车,由II股道,,SIILA，XDLA,,SII/L,B,5/7，(13/15)，[9/11]，(17/19)，27，{23/25},D11，XD，SIID，D13,19-27DG，17-23DG，9-15DG，11-13DG，7DG,,,BS,7
由东郊方面发车,由4股道,,S4LA，XDLA,,S4/L,B,5/7，(13/15)，[9/11]，(17/19)，(27)，{23/25},D11，XD，S4D，D13,19-27DG，17-23DG，9-15DG，11-13DG，7DG,,,BS,8
由北京方面发车,由5股道,,S5LA，SLZA,,S5/L或U或LU,,(1/3)，(9/11)，[13/15]，(21),D1，D7，D9，S5D,21DG，11-13DG，9-15DG，3DG，1DG，IIAG，<23/25>25DG，<5/7>5DG,,,BS,9
由北京方面发车,由III股道,1,SIIILA，SLZA, (23/25),SIII/L或U或LU,,(23/25)，17/19，13/15，9/11，(1/3),D13，D9，D7，D1，SIIID,25DG，17-23DG，9-15DG，3DG，1DG，IIAG，<5/7>5DG，<21>21DG,,,BS,10
由北京方面发车,由III股道,2,SIIILA，BA，SLZA, 23/25,SIII/L或U或LU,,23/25，21，[13/15]，(9/11)，(1/3),D9，D7，D1，SIIID,25DG，21DG，11-13DG，9-15DG，3DG，1DG，IIAG，<5/7>5DG,,,BS,11
由北京方面发车,由II股道,,SIILA，SLZA,,SII/L或U或LU,,1/3，17/19，27,D15，D5，D1，SIID,19-27DG，1/19WG，1DG，IIAG,,,BS,12
由北京方面发车,由4股道,,S4LA，SLZA,,S4/L或U或LU,,(27)，17/19，1/3,D15，D5，D1，S4D,19-27DG，1/19WG，1DG，IIAG,,,BS,13
由北京方面接车,至5股道,1,XLA，S5LA, (5/7),X/UU,,(5/7)，9/11，13/15，(21),D3，S5D，D11,IAG，5DG，7DG，11-13DG，21DG，5G，<23/25>25DG，<1/3>3DG,5G,5G,,14
由北京方面接车,至5股道,2,XLA，D7A(D9A)，S5LA, 5/7,X/UU,,5/7，(9/11)，[13/15]，(21)，1/3,D3，D7，D9，S5D,IAG，5DG，3DG，9-15DG，11-13DG，21DG，5G，<23/25>25DG,5G,5G,,15
由北京方面接车,至III股道,1,XLA，SIIILA, 5/7,X/UU,,5/7，1/3，9/11，13/15，17/19，(23/25),D3，D7，D9，D11，D13，SIIID,IAG，5DG，3DG，9-15DG，17-23DG，25DG，IIIG，<21>21DG,IIIG,IIIG,,17
由北京方面接车,至III股道,2,XLA，BA，SIIILA, (5/7),X/UU,,(5/7)，9/11，13/15，21，23/25,D3，D11，SIIID,IAG，5DG，7DG，11-13DG，21DG，25DG，IIIG，<1/3>3DG,IIIG,IIIG,,16
由北京方面接车,至I股道,,XLA，D17LA,,X/U,,5/7，1/3，9/11，13/15，17/19，23/25,D3，D7，D9，D13，D17,IAG，5DG，3DG，9-15DG，17-23DG，IG,,IG,,18
由北京方面接车,至4股道,,XLA，S4LA,,X/UU,,5/7，1/3，9/11，13/15，(17/19)，{23/25}，(27),D3，D7，D9，D13，S4,IAG，5DG，3DG，9-15DG，17-23DG，19-27DG，4G,4G,4G,,19
